Name,Mid X,Mid Y,Layer,Rotation
CONN5,462.98,466.4,Top,0
CONN15,575.5,494.18,Top,90
CONN2,442.5,462.93,Top,0
CONN3,449.3,462.93,Top,0
CONN4,453.35,518.4,Top,270
CONN7,516.65,480.1,Top,90
CONN14,575.5,513.92,Top,90
CONN9,521.45,532.65,Top,0
CONN1,426.82,466.2,Top,0
CONN13,563,466.4,Top,0
CONN6,488.57,466.4,Top,0
CONN10,531.9,466.38,Top,0
IC12,558.02,514.35,Top,0
IC13,579.3,478,Top,0
J1,463.4,514.02,Top,0
IC3,437,497.5,Top,90
IC5,476.9,493.8,Top,90
C5,432.6,479.3,Top,180
C9,460.8,485.6,Top,180
C10,464.3,527.3,Top,0
C11,471.2,522.7,Top,0
C13,484.8,519,Top,270
C14,484.6,508,Top,90
C16,481.9,480.4,Top,0
C24,493.5,488.9,Top,180
C25,494,479.6,Top,0
C27,498.6,494.9,Top,180
C28,498.9,479.6,Top,0
C30,503.5,492,Top,180
C31,503.4,482.5,Top,180
C32,509.2,489,Top,0
C33,509.4,479.6,Top,180
C34,476.4,511.3,Top,270
C35,528.9,506.6,Top,0
C36,532.6,524.2,Top,0
C37,532.5,521.4,Top,0
C38,534,497.15,Top,270
C39,539,497.3,Top,0
C40,539,489.5,Top,0
C41,539.6,481,Top,0
C42,542,523.3,Top,0
C43,544.2,497.1,Top,0
C44,544.1,489.4,Top,0
C45,544.9,481,Top,0
C46,548.8,490.3,Top,0
C47,548.9,487.3,Top,180
C48,551.2,523.5,Top,180
C49,551.2,517.7,Top,180
C50,551.05,508.8,Top,180
C51,553,480.2,Top,270
C52,555.3,493.4,Top,0
C53,559.1,504.6,Top,0
C54,558.1,501.4,Top,0
C56,562.8,483.6,Top,0
C57,560.9,478.9,Top,270
C58,564.2,504.4,Top,0
C59,564.2,501.4,Top,0
C60,576.5,482.5,Top,0
C64,428.2,524.8,Top,270
IC10,543.1,512.9,Top,0
X2,495.8,525.26,Top,0
C1,418.8,493.3,Top,90
C2,436,518.7,Top,0
C3,426.5,493.3,Top,0
C4,431.6,512.8,Top,90
C6,418.7,512.8,Top,90
C12,421.1,512.8,Top,90
C17,490.86,535.4,Top,0
C18,491.6,529,Top,0
C19,491.7,525.3,Top,0
C20,494.3,511.4,Top,0
C21,494.3,508.3,Top,0
C22,494.3,505.1,Top,0
C23,494.2,502,Top,0
C26,498.2,506,Top,90
C29,499.7,525.6,Top,0
C55,561.8,486.1,Top,0
C61,423.8,512.8,Top,90
C62,426.4,512.8,Top,90
C63,428.9,512.8,Top,90
L1,435.5,522,Top,90
LD1,483.24,534.66,Top,0
LED1,503.3,528.6,Top,180
LED2,508,528.7,Top,180
IC2,423.6,488.2,Top,0
IC8,529.7,513,Top,0
L2,494.2,514.2,Top,180
SWPROG,521.84,538.8,Top,0
IC9,528.55,487.58,Top,270
IC11,555.2,488,Top,0
Q1,445.5,473.7,Top,0
IC1,428.2,521,Top,0
R1,432.6,482.4,Top,0
R2,445.3,478.3,Top,180
R3,445.5,467.5,Top,180
R4,428.3,517.3,Top,0
R5,422.4,520.1,Top,0
R6,476.9,483.4,Top,0
R7,481.8,483.4,Top,180
R8,493.5,494.9,Top,0
R9,493.5,491.9,Top,0
R10,493.6,485.7,Top,0
R11,493.5,482.5,Top,0
R12,498.7,492,Top,180
R13,498.7,488.9,Top,180
R14,498.7,485.7,Top,0
R15,498.6,482.5,Top,0
R16,500,531.3,Top,0
R17,500.9,502.5,Top,270
R18,503,522.5,Top,0
R19,504.2,502.2,Top,270
R20,503.3,494.9,Top,0
R21,503.6,485.7,Top,0
R22,507.1,534,Top,270
R23,509.1,503.1,Top,90
R24,509.5,494.9,Top,0
R25,509.5,491.9,Top,180
R26,509.2,485.7,Top,180
R27,509.2,482.5,Top,0
R28,513.7,528.5,Top,0
R29,513.7,525.7,Top,0
R31,527.3,524.2,Top,0
R32,527.2,521.3,Top,0
R33,422.4,522.6,Top,0
R34,482.4,510.5,Top,90
R35,538.8,493.2,Top,0
R36,539,485.8,Top,0
R37,539.9,478.3,Top,0
R38,542.1,520.4,Top,0
R39,482.4,516.7,Top,90
R40,544.7,493.6,Top,0
R41,544.5,485.8,Top,0
R42,545.3,478.1,Top,0
R44,549.8,514.9,Top,180
R45,550.1,496.8,Top,0
R46,550.1,493.7,Top,0
R47,549.9,484.3,Top,0
R48,549.6,481.2,Top,0
R50,551,520.6,Top,180
R51,550.7,512,Top,180
R52,557.3,526.1,Top,0
R53,556.9,522.1,Top,0
R54,557.1,483.3,Top,0
R55,556.9,479.8,Top,0
R57,562.1,497,Top,0
R58,562.3,494.1,Top,0
R59,563.9,525.4,Top,0
R60,563.8,522.2,Top,0
R61,565,480.5,Top,0
R65,565.5,477.7,Top,180
R66,570.2,480.5,Top,0
R67,570.2,477.7,Top,0
R68,472.2,533.7,Top,180
R49,549.5,477.6,Top,0
R56,557.6,476.1,Top,0
IC4,464.29,533.02,Top,270
D1,436,526.6,Top,0
D2,436,512.1,Top,270
IC6,506.27,513.41,Top,0
JTAG1,543.02,535.26,Top,0
C7,441.2,532.8,Top,90
C8,433.6,532.8,Top,90
C15,482.9,525.3,Top,0
CONN8,519.7,494.89,Top,0
CONN11,554.39,497.5,Top,0
CONN12,561.2,491,Top,0
CONN16,580.7,482.5,Top,0
CONN17,580.7,475.19,Top,0
CONN18,580.7,473.1,Top,0
CONN19,580.7,471.1,Top,0
IC7,479.3,513.6,Top,90
X1,486.8,513.5,Top,270
